timestamp,open,high,low,close,volume
2026-05-01 00:00:00,76346.58000000,76591.00000000,76320.42000000,76458.05000000,502.88844000
2026-05-01 01:00:00,76458.06000000,76776.21000000,76449.50000000,76686.13000000,486.84554000
2026-05-01 02:00:00,76686.12000000,76744.60000000,76533.74000000,76592.54000000,204.45438000
2026-05-01 03:00:00,76592.54000000,77453.74000000,76555.06000000,77131.08000000,1056.19913000
2026-05-01 04:00:00,77131.08000000,77206.38000000,76653.60000000,77042.44000000,995.75921000
2026-05-01 05:00:00,77042.44000000,77184.96000000,77033.91000000,77165.98000000,283.75111000
2026-05-01 06:00:00,77165.99000000,77179.53000000,76882.00000000,76993.48000000,439.15205000
2026-05-01 07:00:00,76993.49000000,77140.36000000,76957.04000000,77130.54000000,633.73250000
2026-05-01 08:00:00,77130.54000000,77500.00000000,77048.00000000,77377.47000000,697.73561000
2026-05-01 09:00:00,77377.48000000,77391.99000000,77200.15000000,77268.55000000,355.16559000
2026-05-01 10:00:00,77268.56000000,77433.72000000,77146.48000000,77304.34000000,330.99244000
2026-05-01 11:00:00,77303.80000000,77600.00000000,77263.66000000,77463.98000000,584.37960000
2026-05-01 12:00:00,77463.98000000,78170.20000000,77408.73000000,77896.01000000,1392.97654000
2026-05-01 13:00:00,77896.01000000,78914.12000000,77896.00000000,78737.25000000,2354.33999000
2026-05-01 14:00:00,78737.26000000,78871.80000000,78051.86000000,78358.75000000,1970.70152000
2026-05-01 15:00:00,78358.74000000,78735.92000000,78176.06000000,78445.89000000,1013.17746000
2026-05-01 16:00:00,78445.88000000,78683.23000000,78167.53000000,78214.36000000,704.68666000
2026-05-01 17:00:00,78214.36000000,78584.61000000,78131.02000000,78552.94000000,489.31938000
2026-05-01 18:00:00,78552.93000000,78623.37000000,78375.53000000,78423.90000000,487.76487000
2026-05-01 19:00:00,78423.91000000,78540.00000000,78313.16000000,78360.00000000,512.65483000
2026-05-01 20:00:00,78360.01000000,78422.81000000,77752.00000000,77880.18000000,827.52759000
2026-05-01 21:00:00,77880.18000000,78200.00000000,77857.97000000,78199.99000000,485.72824000
2026-05-01 22:00:00,78200.00000000,78411.13000000,78144.70000000,78153.38000000,331.97786000
2026-05-01 23:00:00,78153.37000000,78249.60000000,78043.28000000,78231.13000000,173.55448000
2026-05-02 00:00:00,78231.13000000,78393.39000000,78166.48000000,78341.75000000,211.29374000
2026-05-02 01:00:00,78341.75000000,78441.31000000,78294.19000000,78355.00000000,400.98852000
2026-05-02 02:00:00,78355.00000000,78513.70000000,78260.95000000,78353.93000000,283.69022000
2026-05-02 03:00:00,78353.93000000,78514.82000000,78237.25000000,78400.00000000,300.16391000
2026-05-02 04:00:00,78399.99000000,78448.99000000,78123.53000000,78175.50000000,411.85061000
2026-05-02 05:00:00,78175.50000000,78235.25000000,78040.00000000,78174.00000000,526.60294000
2026-05-02 06:00:00,78174.00000000,78363.21000000,78148.24000000,78327.80000000,366.56450000
2026-05-02 07:00:00,78327.80000000,78342.18000000,78207.20000000,78220.00000000,170.02066000
2026-05-02 08:00:00,78220.00000000,78356.51000000,78165.30000000,78315.37000000,204.83037000
2026-05-02 09:00:00,78315.36000000,78394.00000000,78220.00000000,78293.57000000,257.64077000
2026-05-02 10:00:00,78293.57000000,78311.97000000,78225.22000000,78249.30000000,136.41815000
2026-05-02 11:00:00,78249.31000000,78249.31000000,78094.43000000,78143.08000000,269.24301000
2026-05-02 12:00:00,78143.09000000,78262.37000000,78108.41000000,78211.24000000,182.77682000
2026-05-02 13:00:00,78211.24000000,78423.85000000,78211.24000000,78367.06000000,227.00487000
2026-05-02 14:00:00,78367.06000000,78484.42000000,78309.84000000,78423.98000000,190.15931000
2026-05-02 15:00:00,78423.98000000,78487.68000000,78365.96000000,78487.67000000,126.14054000
2026-05-02 16:00:00,78487.67000000,78596.61000000,78430.07000000,78455.02000000,194.42514000
2026-05-02 17:00:00,78455.02000000,78485.53000000,78368.24000000,78398.02000000,213.39843000
2026-05-02 18:00:00,78398.03000000,78493.31000000,78310.54000000,78466.62000000,118.15969000
2026-05-02 19:00:00,78466.63000000,78521.68000000,78440.11000000,78486.00000000,182.05466000
2026-05-02 20:00:00,78486.23000000,78491.26000000,78418.32000000,78451.38000000,61.92886000
2026-05-02 21:00:00,78451.37000000,79199.48000000,78439.51000000,78719.78000000,734.53837000
2026-05-02 22:00:00,78719.78000000,78872.39000000,78610.46000000,78832.98000000,266.49012000
2026-05-02 23:00:00,78832.98000000,78832.98000000,78631.90000000,78686.85000000,114.49221000
2026-05-03 00:00:00,78686.84000000,78754.55000000,78490.61000000,78542.32000000,233.96416000
2026-05-03 01:00:00,78542.33000000,78542.33000000,78152.25000000,78240.83000000,391.01401000
2026-05-03 02:00:00,78240.84000000,78309.09000000,78108.75000000,78171.85000000,222.42918000
2026-05-03 03:00:00,78171.86000000,78217.59000000,78109.94000000,78203.08000000,200.35590000
2026-05-03 04:00:00,78203.07000000,78236.45000000,78120.00000000,78163.19000000,89.71363000
2026-05-03 05:00:00,78163.19000000,78260.75000000,78163.17000000,78249.42000000,98.09285000
2026-05-03 06:00:00,78249.41000000,78337.26000000,78084.08000000,78288.30000000,306.94233000
2026-05-03 07:00:00,78288.30000000,78483.67000000,78288.29000000,78363.25000000,299.42086000
2026-05-03 08:00:00,78363.24000000,78505.92000000,78363.24000000,78387.86000000,102.01693000
2026-05-03 09:00:00,78387.87000000,78604.67000000,78354.53000000,78529.57000000,293.13210000
2026-05-03 10:00:00,78529.57000000,78534.40000000,78406.97000000,78408.01000000,140.79481000
2026-05-03 11:00:00,78408.01000000,78849.22000000,78380.00000000,78656.01000000,412.83130000
2026-05-03 12:00:00,78656.01000000,78878.77000000,78656.00000000,78747.09000000,294.28187000
2026-05-03 13:00:00,78747.09000000,78769.63000000,78586.99000000,78670.01000000,196.40341000
2026-05-03 14:00:00,78670.01000000,78786.57000000,78608.70000000,78741.00000000,409.96615000
2026-05-03 15:00:00,78741.00000000,78815.19000000,78633.40000000,78668.36000000,237.20487000
2026-05-03 16:00:00,78668.36000000,78784.56000000,78600.00000000,78654.00000000,167.53902000
2026-05-03 17:00:00,78654.01000000,78822.83000000,78558.65000000,78725.76000000,357.92550000
2026-05-03 18:00:00,78725.76000000,78763.57000000,78631.61000000,78739.67000000,138.18974000
2026-05-03 19:00:00,78739.68000000,78853.32000000,78676.67000000,78760.32000000,252.60944000
2026-05-03 20:00:00,78760.32000000,79268.00000000,78732.04000000,78915.99000000,645.79790000
2026-05-03 21:00:00,78915.99000000,79056.59000000,78650.00000000,78831.59000000,357.48617000
2026-05-03 22:00:00,78831.60000000,79447.00000000,78831.60000000,79177.29000000,934.95879000
